1702455608.900092 0.11578436436079001 -0.4516612754134974,0.6857215723914529 0.49680885055856483 -0.48227984940180246 0.5025221907119418 0.5177437210722354
1702455609.9000914 0.11578436436079001 -0.4516612754134974,0.6857215723914529 0.49680885055856483 -0.48227984940180246 0.5025221907119418 0.5177437210722354
1702455610.9001088 0.11578436436079001 -0.4516612754134974,0.6857215723914529 0.49680885055856483 -0.48227984940180246 0.5025221907119418 0.5177437210722354
1702455611.8995986 0.11578436436079001 -0.4516612754134974,0.6857215723914529 0.49680885055856483 -0.48227984940180246 0.5025221907119418 0.5177437210722354
1702455612.9000878 0.11578436436079001 -0.4516612754134974,0.6857215723914529 0.49680885055856483 -0.48227984940180246 0.5025221907119418 0.5177437210722354
1702455613.9001093 0.11578436436079001 -0.4516612754134974,0.6857215723914529 0.49680885055856483 -0.48227984940180246 0.5025221907119418 0.5177437210722354
1702455614.9000957 0.11580293937185221 -0.45174033378213196,0.685653457337013 0.4970316326028769 -0.48235254099195574 0.5024420525791397 0.5175399174853907
1702455615.9001033 0.11580530403419709 -0.4517580959617127,0.6856401648474274 0.49705637491434307 -0.48235186220925497 0.5024482997267569 0.5175107219004921
1702455616.9001322 0.11680796557085926 -0.4518361561617999,0.6856319368071977 -0.4998979822989198 0.4794065258092368 -0.5052364328245457 -0.5147888278233286
1702455617.900177 0.07839652953002585 -0.46268154844256193,0.6856145191018659 -0.504667526803983 0.4744843610502887 -0.5075909763995705 -0.512373573856012
1702455618.9000528 0.025761203925495607 -0.46935077910639744,0.6855859258179354 -0.4901118461240953 0.48967932897336847 -0.4903442483224795 -0.5287410057883606
1702455619.900145 -0.008177327664577821 -0.4699935542827184,0.6855798619769105 -0.47214505169399934 0.5070543848831137 -0.47093221743439173 -0.5460748552295793
1702455620.9000947 -0.04573919730858625 -0.46800720106136395,0.6855252089151166 -0.4546306702939726 0.522968262030477 -0.4516354982831532 -0.5619969103361737
1702455621.9002833 -0.07818727958624064 -0.4628458950301272,0.6850557365094712 0.4963817281457751 -0.4856427827354909 0.48885658813656807 0.5279919542714817
1702455622.9000707 -0.12058888304890913 -0.45044892714371343,0.6846981921015004 0.5035407587615239 -0.4799405005521107 0.49230247506765634 0.5232036823627289
1702455623.9000456 -0.1789391737566514 -0.4299319274389917,0.6845745207687699 0.4759397650442485 -0.5077449780060466 0.4615392364563585 0.550143536334426
1702455624.8991427 -0.20590958250296362 -0.417861455851535,0.6844358821458411 0.4596739307446792 -0.5227332421298887 0.4439285187003761 0.5642493289766523
1702455625.9000459 -0.20805053184702535 -0.41674223121808807,0.6844844461159298 0.45826528028825786 -0.5238595155377646 0.44241685296878536 0.5655364436285791
1702455626.9002633 -0.20805956900424624 -0.416840632215674,0.6843391701506056 0.45833963230796015 -0.5238893141267376 0.44247069914544856 0.5654064453093541
